accession,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,norm int m/z_126.127725_2,norm int m/z_127.12476_2,norm int m/z_128.134433_2,norm int m/z_129.131468_2,norm int m/z_130.141141_2,norm int m/z_131.138176_2
P31943,19.053735013788106,19.208581285047597,19.063797070131052,19.061953008808878,19.096800920035847,19.058913069854693,19.558928867625358,19.60864286665187,19.478226500416163,19.606989486643045,19.604069947806998,19.59420673055736
P55795,19.053735013788106,19.208581285047597,19.063797070131052,19.061953008808878,19.096800920035847,19.058913069854693,19.558928867625358,19.60864286665187,19.478226500416163,19.606989486643045,19.604069947806998,19.59420673055736
P35580,20.620929292481907,20.567337352660886,20.543376086488383,20.583285094101143,20.514031601014455,20.623909890578318,21.091640537738495,20.997377372533197,21.027974354060966,21.072838796117832,21.060699354949847,21.112539289585047
Q9HBL0,18.656792766728543,18.43581624829863,18.41921082833112,18.283008069399216,18.43049698180691,18.453778545995156,18.615453628241138,18.44258090611569,18.476193856069678,18.275607025626464,18.41867318169366,18.437880257611226
P19823,18.600836671175966,18.62673214866608,18.69668911789359,18.501206450951855,18.828908140466755,18.618624777237727,19.19920623634335,18.835891577357017,18.61500452910325,17.738511233901935,19.827668330877746,17.927534931187235
P19022,18.371408267740264,18.338985281699244,18.338376882518578,18.596730636257345,18.488385430943882,18.50403608463767,18.61280073261983,18.699578112525074,18.518356059412064,18.850381198353723,18.69182017938893,18.695548339000087
Q92599,18.20836535577889,18.29030914641686,17.95264456991345,18.155976881458944,18.271526859328056,18.175305884253667,,,,,,
O75439,18.775237316872673,18.706426305812307,18.740659187882798,18.615253634715312,18.918274152001942,18.661499773272062,,,,,,
O43615,16.61660627476329,16.484681310908783,16.88196829985037,16.550829437419015,16.905862919971923,16.769095286398603,,,,,,
Q15582,18.77498969276323,18.895649237538965,18.660424240380607,18.936061332329324,19.423998628285368,19.39864506683587,19.282695553945064,19.3597030900606,19.116974215688582,19.450602487389116,19.831242798775683,19.815568315017202
P31150,17.52003544479024,17.47644300047447,17.37985493889551,17.593434893215154,17.704511595751498,17.772643195042495,18.527990450218827,18.42064902859119,18.5142093492554,18.658887866458283,18.67404913106275,18.735779114055784
Q8IWW8,18.4529269143228,18.447396052879807,18.412526432330427,18.55224693399283,18.607586779704217,18.469470913123715,,,,,,
E9PAV3,17.48016696408641,17.406455571521143,17.299090204216238,17.699706845717085,17.59076122178805,17.49356621842283,17.420744824760728,17.455940415187143,17.3530227351523,17.676724307802946,17.53059379480025,17.496047027928363
P35443,18.644297102419728,18.764637081912433,18.57512039913361,18.99259706710382,19.51770706033604,19.049241273317126,18.150526754691953,18.29090891364008,18.058599554980255,18.532648897307087,18.944706914433848,18.49914672547256
Q9BR39,18.23216948484929,18.210278134881815,18.23049273853173,18.262674481510786,18.405512670296496,18.350698939633368,18.950413506809664,18.944599117334743,18.869304658385463,18.90070616292365,18.982741568871997,18.781033072115054
Q14247,18.604319753846426,18.669331464955157,18.68816321198819,18.814788972400383,18.817011738140817,18.799204138844292,,,,,,
Q9Y697,19.65386583232333,19.70041008390305,19.670170405594504,19.752468852112997,19.812223536158964,19.78718758189127,,,,,,
Q9UBX5,17.486072944129603,17.780043089169936,17.957799227083903,17.72710613030501,18.276063049436264,18.520382728695076,18.210650751373603,18.3798549811903,18.395564802112315,18.395874360711,18.587400300459862,18.805782690654016
O15382,18.822676629354103,18.77189457093892,18.67599492413275,18.378704103979405,18.405703784165862,18.36909602523278,19.129501251335867,19.09094393731741,18.930854258472408,18.9273179047158,18.98161257165797,18.839414489759115
Q9H4M9,17.962800006183887,18.025918158247876,17.886478522621438,17.791360054937716,17.954203866064248,17.858023503868253,18.270940096622724,18.30223282308743,18.23547357530891,18.18851640780266,18.24947770167293,18.201999435008897
Q86WU2,19.82981407728305,20.010154495523935,20.068515892510987,19.996317627497895,19.981258576933218,19.99459720807756,18.57531026227716,18.868478957639983,18.88392897628215,18.770967089208877,18.801103636388106,18.949835258045475
P14136,20.03561464780604,20.19155386540262,20.264215786779246,20.02319190898047,20.940918608336744,20.634822126244575,,,,,,
Q14112,19.411124352262238,19.39089945810037,19.469902963341703,19.404509613745113,19.597040604547878,19.33951202732732,19.474601132199723,19.45571451048421,19.535184650889416,19.438571002576452,19.65105714094803,19.407227426915487
P43243,18.290063858430948,18.288296868215664,18.31245610726746,18.109210000765685,18.310886411599423,18.22562954540478,,,,,,
Q13310,18.903695061204537,19.130003630975814,18.836626740802753,18.978880799484777,18.991029068461458,18.920674143573592,,,,,,
P31948,17.841966609956827,17.800748263408906,17.744502104562564,18.246499387029026,18.248001663215703,18.03202419657912,17.541561755045088,17.522531726277172,17.693020657954484,17.87672376758949,17.993242478798066,17.745792478156197
P07602,21.63637990391127,21.232533352271858,20.68298515682568,20.879605309961814,21.075874404873662,20.962218580706928,20.005651959086723,19.660448039563555,19.136609011758278,19.2862441413241,19.424696665077846,19.418235581026636
P12081,18.732130981462607,19.615328792710297,18.784241838584165,19.30889891869562,19.67020412599802,18.950625663134144,,,,,,
P11586,18.79055213780538,18.83732817203601,18.86907667358807,18.682930582688805,18.698486519421362,18.74831407386702,18.883832556599387,19.06245464244474,19.09486291391987,19.228376398165743,19.251949265573767,19.158546404240774
Q9UHG3,18.467048257537108,18.600400530631205,18.77033482058406,18.51293844485602,18.595811092203945,18.394637150949787,19.122691522664635,19.313349184399023,19.444511441570622,19.038543952978653,19.143979778887743,19.00017197240071
Q07960,19.296096179330256,19.6920203285327,19.18893046213147,19.698507138521073,19.76322533689995,19.771540246386298,19.469717723969886,19.74273409430294,19.257191230419835,19.615396869828132,19.751327316896173,19.69151624027547
P02751,17.968634903181133,18.425401228525622,18.13593859627871,18.080103309218735,18.57127698878505,18.48032914995948,18.359393886391235,18.594558171435054,18.48671056332613,18.398887202900557,18.83436586609665,18.701672234092936
Q14126,18.651058700524466,18.6055221998594,18.68464247960803,18.59719928355685,18.44826232958372,18.391162180404184,17.70097201471676,17.692085562636457,17.781628656813382,17.572538885227527,17.600344157002773,17.451125771320374
Q16363,18.595354269388956,18.53101205770865,18.671349528988905,18.27314773227505,18.578733850661052,18.24621438082102,18.424401616471393,18.441106813232764,18.58339224746957,18.15613740550456,18.495710150651277,18.129203765162714
Q05682,19.223506053749638,19.14529117981462,18.950265406052793,19.13026303936324,19.345235586139033,19.288878845268744,19.09550648386792,19.037631403972053,18.93893704021218,18.964866810891596,19.25294833590702,19.18330523165252
Q04446,19.00609250165951,19.239085693673086,19.105274883995865,18.932288294593054,19.10528639529937,18.976131255564052,20.01431713616317,20.17585955661552,20.038924681056713,20.069748034059014,20.050443546418396,20.033693191175086
O75916,19.01101973076461,18.94261186380976,19.059617760660984,18.939186051140243,18.955261100222746,19.016159457778066,,,,,,
Q93052,18.33726909399762,18.27064892959738,18.089344439298845,18.46039390017539,18.688036826388018,18.581391853468425,,,,,,
O75923,18.554444134265168,18.615682614982415,18.488716413918723,18.717409513984506,18.597476106900036,18.473852376849866,18.682421524586932,18.75585672858621,18.60033969203014,18.857918960481967,18.629081114675106,18.444431406343753
P02730,19.041565579597737,19.32030421544133,19.45603550125975,18.79544360318773,18.81982436062431,18.778908900253235,18.41504850612651,18.56017111163404,18.74454372316595,18.18551912120633,18.08109849607809,18.16082014803486
Q14118,17.90356562151709,17.810304895252237,17.97410505074174,17.956622885467826,17.955550587159703,17.897894190090042,,,,,,
O75843,18.78241758798893,18.640463843614306,18.91001463498586,18.85186186953518,18.74086446484594,18.697671795245533,,,,,,
Q7Z4V5,19.14115668417524,19.01177459502546,19.082188032022806,19.000674014520012,18.9349851505078,18.982495089660617,,,,,,
Q9Y2P4,19.902257334809015,19.86500826202154,20.00156281948293,19.88043102173195,19.718920789011545,19.846592233024893,,,,,,
O00468,19.180725646010647,19.199358427138808,19.15135383807128,19.360391670256092,19.623141824942874,19.310416967071266,18.44056218114805,18.467598744451106,18.446963849817944,18.49447334902172,19.071682319909996,18.565516518384513
Q5VZ66,22.097228652003032,22.152122443435978,21.8626009130622,22.71441050674885,22.278125560531286,22.298549923272198,,,,,,
Q6PI48,18.300382368877088,18.88162184564424,18.97133866215718,18.181475838678725,18.56327076503909,18.318816395902164,18.58166889475651,19.060805867775496,19.105834354987792,18.464689323508253,18.821673317351408,18.625101183844613
P58107,18.845209012894443,19.025612717556317,19.11479907599553,18.813657517396056,19.16118725282518,18.801993264316295,17.862104577754852,17.95033945833165,18.032600022853682,17.872851178854702,18.078282853413754,17.929383656411396
Q96HY7,18.495016986655543,18.657211422931283,18.55115875875733,18.382624026574916,18.588282757799984,18.573147890990036,,,,,,
O94818,20.038006007507494,20.02122942095561,20.21343770747005,20.050353531922614,20.110182513085306,20.152075599508642,,,,,,
O14773,18.951120563774584,18.86711681479795,18.583921350331607,18.68514572323203,19.0565962550264,18.760039853489268,18.762000771016975,18.725441984349235,18.4031337608164,18.40396171768485,18.70629112122821,18.535735753097146
P23327,19.172329835885122,19.110475663218615,19.131731386349227,19.23160792672146,19.076678615921168,19.03938095357956,,,,,,
Q12931,19.11488440850231,19.32674473937236,18.810383353162674,19.5010311376367,19.05031367131115,19.000604344265202,19.06429193104483,18.873674411773475,18.527642435197865,18.81327077261193,18.993871767485533,18.759378913361555
P35913,20.71187390557606,20.7643794750606,20.843897288667794,20.60185661522871,20.706349304768843,20.693654830981114,,,,,,
P25098,18.674623318149575,18.583284809425667,18.766980133140816,18.560657493635045,18.622309257133505,18.663620642624462,,,,,,
Q8WX93,18.12208988044769,18.275200610226662,18.31681272053736,18.10226485374902,18.202723610127855,18.101932596210624,18.306922786719074,18.42323288467198,18.458018041959217,18.226107569306844,18.1123695064355,18.231875072508373
Q8TCS8,19.23356350761808,19.64782553225319,19.380224294318,19.063728170978127,19.06576716192704,19.06753939938378,,,,,,
P00751,17.723990839996542,17.619596703801726,17.650038482581785,17.39831783368006,17.74248378804541,17.438994847212225,,,,,,
P49747,22.216786851339755,22.10890055624075,22.019632973836064,21.93889505574965,22.506382769553923,22.53707345192703,19.802173964619275,19.922744807446062,19.733147760436562,20.048838053924136,20.213796625131074,19.970346771041783
Q5SY80,18.259197672734476,18.389424093237494,18.161026895931485,18.5593260374955,18.887242425449568,18.50387359261124,17.287730413124752,17.16846646302737,17.241354774872065,17.341744661005652,17.406005650953063,17.318216203405264
Q9NYL2,18.65937403923259,18.61046257633333,18.703869786912932,18.682992869712447,18.854066345299657,18.815136212129797,,,,,,
P13591,16.05270601380723,16.075761159444383,15.99345810472793,16.656061685685522,17.092901634388937,16.62351002593409,16.07543736554649,16.105192383632772,15.905821797716026,16.60076953654753,16.953133576679534,16.56642572692967
Q9NT22,18.088045441287154,18.095404749729134,18.062971037701395,17.965223440676287,17.68239799940856,17.893420043921253,18.19865927151475,18.285233639909475,18.314047692329368,18.158414083199627,17.938767917910024,18.03765242187291
P55290,17.53280487112463,17.415551979624748,17.524962500933036,16.98005029919358,16.801316818165205,16.878613756785278,17.621252969702706,17.578797744332558,17.59758216600144,17.178677784946043,16.931160748361844,17.054848053144212
P07814,18.707901685508592,18.8906212782536,18.710675290762484,18.64813635742748,18.550790929673305,18.59786433398904,,,,,,
Q92973,18.250543621170728,18.446925778096492,18.377403311869635,18.367293162070375,18.44044948276241,18.312838650142552,,,,,,
P32418,19.123423014117193,19.69458148844033,18.912849875305806,19.053689944108015,19.209828146160138,19.22715525127128,19.577673609714918,19.5291049875357,19.523058422633298,19.474015333549893,19.312896246561582,19.34718122858567
Q86UT6,18.748087998756105,18.990139982020246,19.041270119468447,18.740930326445312,18.712448074028046,18.653901684857416,19.326862466785794,19.449732376785065,19.482939879535774,19.048892133358564,19.28028521310414,19.16964777240675
Q02487,15.689124404913258,15.707197337530232,15.718853914910635,15.577517341459217,15.495495931971753,15.37593879842166,15.797218214013999,15.592821986409417,15.674123288191815,15.640541512447234,15.462246634244352,15.502629827537524
Q92613,19.328458714587974,19.33684648197753,19.302487207231557,19.406507452450803,19.277994120146488,19.35951794471042,,,,,,
Q01432,18.78197596770863,18.907759144598895,18.841149685303858,18.812849462952798,18.89452026913202,18.878523955967292,,,,,,
O00329,19.734759227889693,19.72617990111165,19.366968874159006,19.554281562800465,19.38191677395145,19.3830524319066,,,,,,
P53618,20.201128807785395,20.187927920288693,20.206421800640907,20.390415993298774,20.26472930783348,20.48777625990521,,,,,,
