,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
Q15075,,5,4,5,,4,4,,5,5,4,3,3,3,2,3,,5,7,3,4,4,3,,4,,4,3,3,2,3,7,3,6
P34932,,5,4,6,,4,7,3,5,4,4,6,3,6,4,3,5,5,4,7,3,4,,3,5,5,4,2,4,,4,7,3,3
P00736,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15019,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3
P00450,,7,4,4,,3,,,5,6,,2,,3,,2,4,2,7,2,4,,2,,3,6,,4,,4,3,,,5
Q5R372,,2,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,2,,
Q9NYL2,,3,,3,,,2,,,,,2,,2,,,,,,,3,,,2,3,,,,,,2,,,
O14967,,2,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,,
Q8N3L3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BX66,,3,4,2,,2,,,,2,,,3,,,,4,,,,2,2,,3,,2,2,,,,,,,
P22314,,3,,2,,,,,,,,2,,2,,2,2,,,3,3,,2,,2,2,,2,2,2,,,,
Q14118,,2,,,,,2,,,,,,,3,,,2,,,,2,,,,2,,2,,,,,,,
Q14974,,2,,2,2,3,3,2,2,3,3,5,3,4,3,,2,4,,2,,3,3,3,4,,3,3,,4,4,2,2,3
Q9UBC2,,2,,2,,,2,,2,2,,,3,2,,3,,3,3,2,,,,,2,4,,,,,,,3,2
Q8TB22,,4,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,
P27816,,8,,,,4,5,,,5,3,5,3,,,,4,5,,,2,2,,2,3,,4,,4,4,3,5,,
O60237,,2,4,2,,,,3,,3,,,2,,2,2,2,3,4,5,2,4,,3,2,,,,2,3,2,,,3
Q9P2B2,,2,,2,,,2,,2,4,,2,,2,,,,5,,,,,,,,,3,,,2,,2,2,
Q9Y4G6,,6,5,7,5,3,5,6,3,7,5,10,4,7,3,3,4,5,6,5,4,,,4,5,3,7,4,4,,3,,7,6
P49588,,2,,,,,,,,2,,,,3,,2,2,,,,,,,,3,,,,,,,,,
Q8NBF2,,2,,4,3,3,,4,3,6,3,5,2,2,4,,,,2,4,,5,,2,6,,3,,,,,,4,
Q08380,,2,3,2,2,2,4,2,8,3,2,5,4,4,,4,10,2,4,2,10,3,3,2,,4,2,2,2,3,4,3,2,5
Q99460,,2,2,2,2,,,,4,2,,4,,2,3,,3,,,2,,2,,3,3,,,3,2,2,,2,,
Q13683,,3,5,,4,4,2,3,,5,4,,3,3,4,3,,2,2,2,4,3,,5,4,3,3,4,2,3,3,5,4,
P54289,,3,,,,2,,2,,3,2,,,3,,,,2,,2,2,2,,,,,,,4,2,2,,,
P21399,,2,4,5,4,4,4,3,,3,2,5,3,6,3,2,2,3,2,3,2,4,,6,5,2,,3,,,,3,2,
Q86UP2,,2,9,4,3,3,6,3,4,5,5,5,3,7,3,7,7,4,3,2,4,5,7,4,5,6,5,5,2,4,3,7,3,2
Q9P2E9,,2,,,,,,,,2,,,,,,3,,,5,3,2,,,,6,5,,,,,,2,,
Q8WWI1,,2,3,,,,,,,3,,,2,3,,,2,,,3,,,2,3,,,2,,3,,,,,
P46940,,2,,4,5,4,2,3,,7,5,2,2,3,,,4,3,,2,2,4,,,7,2,5,,5,,5,4,,3
P22105,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12111,,4,5,6,2,4,4,2,,4,4,3,5,7,2,,6,6,6,4,,7,6,3,,5,4,,13,5,5,6,,5
Q702N8,,2,4,2,3,,,3,,,2,3,3,,,4,4,3,6,4,3,4,,2,5,,2,3,3,,2,,,
P39060,,3,4,4,,,3,,3,,,,,4,,,5,,4,2,4,,,,,4,,4,,,2,,,4
Q9C0D4,,2,,,,,2,,3,2,,,3,,,,2,,3,,4,,,,,,,,,,2,,,2
P98160,,3,2,3,,,3,,2,,,3,,3,,,,,4,4,3,2,,,,,,3,,,2,,,2
P13611,,2,3,,,2,,,,,,2,2,,,,,,,,,4,,,,3,,,,,,5,4,
Q14667,,2,,,,,,,,,,3,,,,2,,,,,2,,,,,,,,,,,,,
Q09666,,3,,,,,,,,2,3,,,3,,,4,,,,4,2,,,,,,,,,,3,2,
Q96IX5,,,3,3,3,,,2,2,,3,3,2,2,,,,4,,,2,2,,2,3,,2,3,,,3,,,2
Q9BPX5,,,2,2,,,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,
O95298,,,3,,,,,,,,,,,,,2,,4,,,,4,,,,,,,,,3,,2,
Q96DB5,,,4,4,3,4,5,4,4,2,,3,5,,4,2,,4,3,2,,4,2,4,5,3,4,5,,,4,,2,3
P60981,,,3,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
P62280,,,4,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,2,2,4
Q99417,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60220,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26447,,,2,2,,2,,,,,,,,3,3,,,,,,,,,,,,,,2,,,2,,
Q9Y3B8,,,3,2,,,,,,,,,,,,,,,3,,2,3,,,,2,,2,,,2,,,2
P55822,,,2,4,2,2,,3,,4,3,4,,2,2,4,3,3,2,3,3,2,,4,2,,2,2,2,2,2,3,,2
Q9BRQ6,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,2
P62701,,,3,,,,,,,,2,,,,,,,,2,,,,2,3,4,,2,,4,,2,3,,
P25789,,,2,6,2,3,3,3,4,3,2,6,,5,3,2,3,3,3,4,4,2,2,2,3,4,,,,,,2,2,4
Q9NRG7,,,3,2,,,2,,,,,4,,3,,,3,,,4,2,,,,,,,,,,,,,
P27105,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,,
Q9BTZ2,,,2,2,2,3,3,,,2,2,2,2,2,3,2,3,2,,2,,,,2,,2,,2,,,3,,3,
Q9BSH4,,,2,,,,3,,,,,,,2,,,,,2,3,2,,,,,,,,,,,,,
P63098,,,2,,,,4,,,,,,,2,,,3,,,2,,,,,,,,2,,,,,,
P62917,,,2,,,,2,,,,,2,,,,,,,,2,,,,,3,,,,,,,,,
Q9BUB7,,,2,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
P31150,,,3,4,,,2,,,2,4,3,2,4,2,2,3,3,2,3,3,4,3,2,4,4,2,6,,3,3,3,,3
Q99747,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
P48444,,,3,4,2,5,,,2,,5,2,5,6,,,2,4,4,3,,,,4,8,,3,,,,3,2,3,2
P49406,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NBU5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y230,,,4,,2,,,,4,2,2,,,3,2,2,2,,2,,,3,,2,,2,2,3,,,,,,2
Q9NPL8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96CV9,,,3,,,,3,,,,,,,,,,,,,,,,,,2,,,2,,,,,,
P20073,,,3,,2,2,,4,,2,3,,4,,2,2,2,3,,,,2,,,3,,,,,,,2,,
Q9BYV2,,,3,2,,,3,,2,,2,,,,,2,,3,,,3,,,3,4,,,3,,,,3,3,2
Q8NEF3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00148,,,2,,,3,4,3,,,,2,,3,,,2,,,,,,,2,2,,,,4,2,,,,2
Q14103,,,3,,,,4,3,,3,,,,3,,3,3,2,5,6,,,,,,3,,3,,,,3,,
P02748,,,5,,,2,,2,,2,3,,3,3,,,5,2,4,,2,,3,,2,4,,3,3,2,2,,2,
P43490,,,2,,2,,3,4,,,,,,4,,,,,4,2,3,,,,6,,,,,,2,,,
P25787,,,3,,,,2,,,,,,,,,,,,,,2,,,,,2,,2,,,,,,
O14979,,,3,3,,3,,,,3,,3,3,3,,,3,2,4,4,,5,,2,4,3,,3,2,4,2,3,3,
Q86VF7,,,8,11,3,4,4,9,,4,7,2,6,12,,,10,6,,26,6,8,,7,22,,3,9,2,6,2,5,,
Q99733,,,2,2,,,,,,,,2,,,,2,2,,,3,2,,,,,,,2,,,,,,
P52272,,,3,4,,,3,,2,,,2,,,,2,3,,2,3,,,,,2,,,,,,,,,3
P40123,,,2,,2,,,,,,,2,,2,,2,2,,,3,2,,,,2,,,2,,,,2,,3
Q12765,,,2,,,2,,,,2,,,,,,,,,,2,,2,,,,,,,,,,3,,
P21695,,,3,,2,,,2,,,3,2,,,2,,,,,,,2,,,4,2,,4,3,,3,,,
P78371,,,2,4,3,2,3,7,,2,3,5,,2,2,5,,4,2,,4,2,3,5,,,2,,,2,4,,5,
O60884,,,2,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,3,,
Q9BYV6,,,2,2,,3,,,2,5,2,,,,3,2,,3,,2,,,,3,,3,3,3,,,5,3,3,
P40227,,,2,5,,3,4,3,,2,3,3,4,4,,3,,3,2,3,3,3,3,2,3,,,,2,2,,,2,3
Q07065,,,2,,3,2,2,2,,4,4,3,2,2,2,,5,2,,3,4,4,,3,5,4,2,2,2,2,3,3,4,2
Q9Y6I3,,,2,,,,,,,,,2,,,,,,,,,3,,,,,3,,,,,,,,
P48147,,,2,3,,,3,,3,2,,5,,3,,,,,,3,,,,,3,3,,3,,,,,,
O60240,,,2,2,3,,,,,,2,3,,,2,,,,,,3,3,,4,,12,3,12,4,4,3,2,,2
P23327,,,2,2,4,,2,6,2,2,2,2,3,3,2,,3,,2,3,3,,,3,2,,3,2,2,3,,,,3
Q969Z0,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Q03252,,,2,,,3,,,,4,2,,,,2,,2,,,,,2,,2,4,5,3,2,,,,,3,
Q9NP74,,,2,,,,2,,,,,,,,,,3,,3,,2,,,,,,,2,,,,,,
Q13425,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,
Q9H987,,,4,3,,3,2,2,,3,3,2,4,,4,,,2,,,,4,,2,,3,2,,3,,3,3,,
P10515,,,2,,2,2,,,,3,2,,,2,,2,3,,3,,2,3,,,2,,2,,,,,,2,
Q92973,,,2,,,,,2,,,2,5,,3,,,2,4,2,3,,,,,3,,,,,,,,,
O14964,,,4,,,,,,,3,2,,2,,,,,2,2,,,,,,,,,,,,,3,,
Q9BZL4,,,4,,,,2,,,,,,,,,2,,2,2,,2,,,,,,,,,,,2,,
Q2M2I8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WUF5,,,2,4,,,2,,,,,,,3,,2,,,,4,2,,,,,,,,,,,,,
P10253,,,3,2,,,4,,,2,3,4,,5,2,2,,2,,,,2,,2,2,,,,,,3,2,,
P19022,,,3,,,,3,,,,2,2,,4,,,3,2,,,,2,,,2,,,,,3,2,2,,
Q9NNW7,,,2,,,,,,,,,2,,,,2,,,2,,4,,,,,,,,,,,,,
Q9UDY2,,,2,4,2,5,2,2,2,,,3,,,,,,2,,,,,,2,,,3,,,,,,,4
Q9UMS6,,,2,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,
Q9NYU2,,,2,3,,2,2,,2,2,2,6,2,5,4,,,3,3,,3,,,3,3,,3,2,2,,3,,2,
Q9Y2K3,,,2,4,,,3,,2,,,3,,3,,,,,,3,,,,,,2,,,,3,,,,
P50570,,,2,2,,,4,,2,,,,3,6,,,,2,,2,4,,,3,3,3,,3,,,3,,2,
Q58EX2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Q12955,,,4,9,2,,2,3,5,6,3,6,2,5,,5,2,2,,4,4,4,2,4,5,,4,3,2,,4,,2,5
Q13439,,,2,,,,,,,3,,,,,,,,,,,,,,,,,2,,2,,,3,,
P24043,,,2,5,,,2,,,,,3,3,10,,3,,,2,,3,,,,2,,,2,,,,,,
Q6ZNJ1,,,6,,,,,,3,,,3,,,,,,,8,,,,,,,,,,,5,,,,
Q01484,,,2,,,,,,2,,,4,,,,3,,,,4,,,,,,,,2,,,,,,
Q15149,,,2,,,3,,,,4,,,,,,,3,3,,3,,7,,,2,3,,,8,,,2,,
P06454,,,,2,,,,,,2,2,,,,,3,,2,,,2,,3,,2,,,,,,,,,
P24844,,,,5,,6,4,2,,,,,,5,,,,4,,2,,3,,,,,2,3,4,,4,5,3,
O75348,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2Q5,,,,2,,,2,,2,,,,,,,,,,,,,,,3,,,,,,,,,,
Q99471,,,,2,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,
P62269,,,,2,3,2,,3,,3,2,2,2,2,2,,,3,,2,,2,,3,,,4,2,2,,3,3,3,
P83731,,,,2,,,2,,,2,2,,,,,2,,2,2,2,,,,,2,,2,,2,,2,2,,
Q9BWH2,,,,3,,3,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,
Q99653,,,,3,,,2,,2,,,2,,4,,2,3,,3,,3,,,,,2,,3,,,,,,
P60660,,,,4,,2,2,,,,2,2,,,,,,,,,,,,,,,,,,,,2,,
P18124,,,,3,,3,,,,3,3,,,2,,3,2,3,2,4,,3,,4,4,,,2,,3,3,,4,
P40429,,,,2,,,,,,,,2,,2,,,,,,,,,,,2,,,,,,,,,
Q9Y2Q9,,,,3,,,,,,,,2,2,,2,,,,,,3,,2,2,,2,4,2,,2,2,,,
O43678,,,,3,,,,,3,,,3,,,,3,3,,3,,2,,,,,,,2,,,,,,2
P61086,,,,2,2,,,,,2,,2,,,,,,,,,,,,,,,,,2,,,2,,
Q8N0X4,,,,3,,,4,4,,,,2,,2,,,,,,2,,,,,,,,2,,,,,,2
Q86YM7,,,,3,,,,,,,,,2,3,,,,2,,3,4,,,,2,,3,,,,,,,3
P02741,,,,4,,,,,,,,,,4,,3,,,7,2,3,,,,3,2,,6,,,,,,
Q96E11,,,,2,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,
P61769,,,,2,,2,,,,,,2,,2,,,,2,3,,3,,,,,,,,,2,,,,2
P13693,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Q9Y6N5,,,,5,,,,,,2,,2,,,,,2,,2,3,2,,,,,2,,3,,,2,,,
P20618,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Q9UNM6,,,,3,2,3,2,2,,3,2,4,2,3,,,,2,,4,2,,2,3,3,,3,,3,,2,3,2,
Q9UQ80,,,,3,2,2,,,,,2,2,,,2,,,,,,,,2,,3,,,,,2,,2,,
Q16762,,,,2,,,,,2,,,4,,,3,,2,2,3,,2,,,,2,2,,,,2,,,,
P51911,,,,2,2,4,,,,,3,,3,,2,,,2,,3,,2,,,3,5,,6,6,,2,6,,
P68036,,,,2,,,3,,2,2,2,4,2,2,,2,,,3,,,,,,,,,,,,3,,,3
P16152,,,,2,,,2,,2,,,,,,,3,,,3,,2,,,,,3,,,,2,,,,3
P06730,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Q14123,,,,5,2,2,3,,,,,3,2,3,,,2,2,,3,,,,2,,,,,,,2,2,,
P50454,,,,2,,,,,,,,,,3,,,,,2,3,,,,,3,,,3,,2,,,,
P30533,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2
O95861,,,,2,,,,,,,,,,,3,2,,,,,,,,,,2,,,,,,,,
P35813,,,,3,,,,,,,,2,,,,,,,,,,2,,,,2,,3,,,,3,,
O15144,,,,2,,,,,,4,2,4,,,,,,5,2,,2,3,,,3,3,,4,3,,,4,,
Q9UNP9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62195,,,,2,2,3,2,4,,3,2,4,4,2,2,3,,3,3,2,3,2,3,4,,2,2,4,3,,,4,2,2
P55036,,,,3,,,2,,3,,,,2,2,3,,2,,,,2,,,,3,3,2,,,,,2,2,
P30519,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05787,,,,4,,2,3,,,,,,,,,,6,,3,,3,7,,,,7,,,,,2,,,
Q8IWW8,,,,2,,,,,,2,,,,,,,,,,2,,2,,2,3,,,,,,2,,,
P17612,,,,2,2,,2,,,,,2,,3,2,,2,,,2,,,2,,,,,,,2,,,,
P22694,,,,2,2,,2,,,2,,2,,3,2,,2,,,2,,,2,,,,,,,2,,,,
Q9BV79,,,,3,,,3,,2,,,2,,2,,,,2,,,,,,2,,,,,,,,,,
Q9BW91,,,,2,,,,,,,,2,,,,,,,,,3,,,,2,,,,,,2,,,
Q9Y376,,,,2,,,,,,,,2,,2,,,,,,2,,,,,,,,,,,,2,,
Q7L0Y3,,,,2,,,4,,,,,,,3,,3,,,,2,,,,,,,,,,,,,,
Q92901,,,,2,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,
P36507,,,,2,,,5,,,,,,,2,,,,,,,,,,,2,,,,,,,,,
P05455,,,,2,3,2,2,3,2,2,,,2,3,,,,2,,2,,2,,,2,,,2,,,,2,2,
P63092,,,,2,2,,4,,,,3,4,2,,,,,2,,2,,,,2,2,,2,,,2,3,,2,
Q5JWF2,,,,2,2,,4,,,,3,4,2,,,,,2,,2,,,,2,2,,2,,,2,3,,2,
Q9H2U2,,,,2,2,2,2,,,2,2,2,2,,,2,,2,,,,2,,,3,,2,,3,,3,2,2,
Q9NZA1,,,,3,,2,,2,4,3,3,,2,,,,,2,,,,2,,,3,,4,,2,,3,2,3,
Q8N8N7,,,,2,,2,,,,3,,,,3,,3,,,2,2,2,,,,3,,,,,,,3,,3
P54725,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54727,,,,2,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,
Q8TCS8,,,,3,,,2,,2,,,,,2,,,2,,,,,,,,,,,,,,,,,2
P12694,,,,5,,3,,,,,,,,4,,,,4,,,,,,5,4,3,,2,,,3,,3,
P50579,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P0V9,,,,2,,,,,,,,,,,,2,,,,,2,,,,,2,,3,,,,,,
Q02750,,,,2,2,,,,,,,2,,2,,,,2,,,,,,,2,,,,,,,,,
P30837,,,,3,,,2,,,3,,2,,,,,,4,,2,2,2,,,,2,,,,2,3,,,
P61978,,,,2,,,,,4,,,2,2,2,2,,2,,,,,,,,2,,,,,,2,,2,
P17858,,,,3,,,5,,,,,,,,,,,,,3,,,,,,,,,3,,,,,
P80404,,,,4,,4,3,2,2,4,3,3,7,,5,,5,5,2,4,7,4,,5,2,6,,4,3,,7,4,4,
O43852,,,,2,,,2,,2,,2,,,,,,,3,,,,,,3,,2,,,,,2,,,2
Q96CW1,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Q9H9L3,,,,2,,,,,,,,2,,2,,,,,,3,,,,,,2,,,,2,,,,
Q8IXI1,,,,2,,2,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,
Q9NVH6,,,,2,,,,2,,2,2,,,,,,,,,,,3,,,,,,2,,2,,,,2
P13798,,,,2,2,3,,3,,,2,3,2,4,,,,2,,,5,,2,2,2,2,2,3,2,3,2,,2,2
Q9UPQ0,,,,3,,,,,,,2,,,,,,,,,,,2,,,,,2,,,,,2,,
Q16881,,,,3,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,2
O95834,,,,2,2,,2,,,2,2,3,,3,2,,2,3,,3,,2,,,3,,,,,,2,,,
P11940,,,,2,,,,,,2,,,,,,,2,2,2,,,2,,,2,,,7,,,2,,,
Q5C9Z4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17655,,,,2,2,2,,,,2,,,,,,,2,,,2,,,,,3,,2,,,3,2,3,,
Q68DU8,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96CX2,,,,2,,,2,,,,,2,,3,,,2,,,,,,2,,,2,,2,2,,,,,
Q9UHD8,,,,2,,,2,,2,,,2,,3,,,,,,2,,,3,,3,,,,,2,,,,2
Q13148,,,,2,,,,4,,,,3,,2,,,,2,,,,,,,2,,2,,,,,,,
Q92598,,,,2,,2,2,,,,,,,4,,,,,,2,,,,,,,,,,,2,,,
O00423,,,,2,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q13617,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NUT2,,,,2,3,,,,,5,,2,,,,,,,,2,,,,,,,3,,,,,,3,
Q9NYF0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55209,,,,2,,,,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,
O75439,,,,2,3,3,2,2,3,2,,3,,,,2,,2,,3,3,4,,2,3,,,,2,3,3,3,2,3
P63010,,,,2,,,,2,2,,,2,,,,3,,,,3,2,,2,,2,,,,,,,,,
Q10567,,,,2,,,,,2,,,2,,,,3,,,,,,,,,,,,,,,,,,
P23634,,,,3,,2,,,,3,4,,,,,,,,,4,2,3,,,,2,,,,,,4,,
O14841,,,,2,,,2,,,,,,,5,,,,,,2,2,,,,3,,,2,,,2,,,
Q86TC9,,,,2,,2,,,,,,2,2,,,,,,,,,,,4,3,,2,,,,,,2,
Q5VYK3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99996,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2D7,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
P49789,,,,,4,,,3,,3,,,3,,3,,,5,,,,,,,2,,,,,,2,,,
Q96FQ6,,,,,2,,,3,,,,,,,,2,,,2,,,,,2,2,,,,,4,,2,,
P14621,,,,,2,4,,,,,3,,4,2,2,4,3,3,3,,,3,,4,2,,2,2,,3,2,2,3,2
Q15370,,,,,3,2,,2,,2,2,,,,2,,,4,,,2,2,3,2,2,2,3,,2,2,5,,2,
P12829,,,,,3,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,
Q9BRX8,,,,,4,,2,2,,,,,,2,,,,,2,,2,,2,,,2,,2,,2,,,,
Q8WUD1,,,,,2,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,
Q15631,,,,,3,4,,2,,3,6,,2,,,,2,4,,,,3,,2,4,,4,,,,,4,5,
P23919,,,,,3,,,,,,,,2,,2,,,2,,,,,,2,,,,,,,,,2,
P28289,,,,,3,3,2,,,,3,,7,6,,,,2,,,5,,,,2,,,,,,2,,,
Q9UL25,,,,,2,2,2,4,2,4,4,3,2,,3,,2,3,,2,2,4,,2,3,,2,2,,,4,2,4,
Q15369,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Q9NTX5,,,,,2,,,,,,3,2,,,2,2,,2,,,,,,,,2,,,,,,,,
Q96MF6,,,,,2,,3,,,2,,,,,,,,2,,2,2,,,,3,,,,,,,,,2
Q9NVS9,,,,,2,,,2,,,2,,2,,,,,,,,,2,,,3,,2,,,,2,,,
Q9NXA8,,,,,2,2,,2,,2,,,,2,,2,,2,,,,,,,,,,,,,2,,2,
Q8NC51,,,,,2,,,,,2,,,,,,,,3,,,,,,,2,,,,,,2,,,
Q9NTG7,,,,,2,,,2,,2,4,,,,,,,,2,,,,,,2,3,,,,,,,,
Q9Y5X3,,,,,3,3,,3,,4,3,,2,,,,,2,,,,2,,,2,,2,3,,,3,2,3,
P61160,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,
P54578,,,,,2,,2,,,2,,,,,,2,,,,,,,,,,,,4,,,,,,2
P48163,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9P1U1,,,,,2,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,
Q92905,,,,,2,3,2,3,,4,3,2,2,,,2,,3,2,,2,2,,3,3,2,,3,3,,2,2,2,
Q6PIU2,,,,,2,2,5,2,,2,,6,,5,2,,,2,,,2,,,2,3,,3,2,,,,4,2,3
P50336,,,,,2,,,,,2,,,,,,,,2,,3,,,,,2,,,,,,3,2,,
O95822,,,,,2,2,,5,,,,3,,3,2,,2,,,,,,,3,,,,,,,,,2,
Q9Y6E2,,,,,2,2,,,2,2,2,3,2,2,2,,2,3,2,,,,,,,,2,3,,2,2,2,2,
O94788,,,,,2,,,,,,,,2,,,,,2,,,,,,2,,,,,,,,,,
Q86TP1,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q16576,,,,,2,,,,,,,2,,,,2,2,,2,2,,,,,2,,,,,,,3,,
Q15070,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
P39656,,,,,2,2,2,3,,3,2,,3,,2,,2,5,,2,2,2,,,3,,3,2,2,,,3,3,2
P48637,,,,,2,,,,,,3,,,,2,,,,2,,,2,,,2,3,,2,3,,2,,,
Q13057,,,,,2,,,,,,,,,,,,,3,,,,2,,,2,,,,,,,,3,
Q8IXI2,,,,,2,2,,,,4,2,,,,2,,,2,,,,3,,,2,,2,,,,,2,,
Q08043,,,,,4,5,,7,,,5,,,,,,,,,,,6,,,4,,,,9,,8,7,3,
P04844,,,,,2,,,,,,,2,,,3,,,2,,,,,,2,,,,,,,,,,
A1L0T0,,,,,2,4,,2,,4,4,,3,,4,,,5,,,,4,,,3,,,,,,4,3,3,
Q5JRX3,,,,,3,3,,,,2,,,2,,3,,,2,,,2,6,,,,2,,2,3,,2,3,2,
P55884,,,,,2,,,,,,3,,,,,,,2,,,,2,,3,2,,,,2,,,3,2,
Q9UIQ6,,,,,4,,,,,2,,2,2,,,,,2,,5,,,,,,,,,,,4,,2,2
Q13554,,,,,2,,,3,,2,,2,,,,,,2,,,,,,3,,,,,,,3,3,,
Q13557,,,,,2,3,,4,,2,5,3,4,,2,,3,2,,,,2,,3,3,,,,2,,3,5,,
Q93034,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,2,,,,,,,
P26639,,,,,2,,2,2,,,,,,2,3,,,2,,,,2,,2,,,,,,,,2,,
P34949,,,,,2,,,2,,,,,,3,,2,,,2,2,,,,,2,,,,,,,,,
Q9Y678,,,,,2,3,,2,,3,2,,2,,,,,3,,2,,3,2,2,5,,2,,2,,4,2,2,
P10643,,,,,2,2,,,,3,,,,,,,4,,,,,,4,,,4,,,2,,2,2,,
Q9NVE7,,,,,2,,3,3,2,,3,3,,4,,3,,2,,2,2,,,,,,2,,,,2,,2,2
Q8NE71,,,,,2,3,,,,2,,,,,,,,2,,2,,2,,2,2,,,2,3,,3,,,
O43491,,,,,3,,,,,,,,,,,,,4,,,,2,,,,2,2,,,,3,3,,
O94973,,,,,2,,,2,,,2,,,,,,,,,,,,,,2,2,,,,,,,,
O95782,,,,,2,,2,2,,4,2,3,,,,,,2,,2,,,,,2,2,,,,,,3,,
P53621,,,,,2,3,2,,,,2,2,2,,,,,3,,3,3,,,,3,,,,2,,3,3,5,
